label,text,label_idx
traffic_in,湛江市 麻章区 人民检察院 指控 被告人   <e1>   林某某   </e1>   为了 赚取 利润 承诺 帮 一名 不 认识 名字 的 青年 男子 将 十粒 毒品   <e2>   海洛因   </e2>   放在 其 养猪场 代为 销售 2014年8月7日早上7时 许 吸毒 人员 徐某某 来到 林某某 的 养猪场 购买 毒品 当两人 完成 交易 时 被 公安民警 当场 抓获 并 从 徐某某 身上 扣押 到 可疑 毒品 一粒 和 人民币 50 元 从 林某某 处 扣押 到 人民币 100 元 和 可疑 毒品 九小 粒经 鉴定 查获 的 可疑 毒品 一粒 净重 0.07克 可疑 毒品 九粒 净重 0.44 克均 检见 海洛因 成分,0
sell_drugs_to,湛江市 麻章区 人民检察院 指控 被告人   <e1>   林某某   </e1>   为了 赚取 利润 承诺 帮 一名 不 认识 名字 的 青年 男子 将 十粒 毒品 海洛因 放在 其 养猪场 代为 销售 2014年8月7日早上7时 许 吸毒 人员   <e2>   徐某某   </e2>   来到 林某某 的 养猪场 购买 毒品 当两人 完成 交易 时 被 公安民警 当场 抓获 并 从 徐某某 身上 扣押 到 可疑 毒品 一粒 和 人民币 50 元 从 林某某 处 扣押 到 人民币 100 元 和 可疑 毒品 九小 粒经 鉴定 查获 的 可疑 毒品 一粒 净重 0.07克 可疑 毒品 九粒 净重 0.44 克均 检见 海洛因 成分,1
NA,湛江市 麻章区 人民检察院 指控 被告人   <e1>   林某某   </e1>   为了 赚取 利润 承诺 帮 一名 不 认识 名字 的 青年 男子 将 十粒 毒品 海洛因 放在 其 养猪场 代为 销售 2014年8月7日早上7时 许 吸毒 人员 徐某某 来到 林某某 的 养猪场 购买 毒品 当两人 完成 交易 时 被 公安民警 当场 抓获 并 从 徐某某 身上 扣押 到 可疑 毒品 一粒 和 人民币 50 元 从   <e2>   林某某   </e2>   处 扣押 到 人民币 100 元 和 可疑 毒品 九小 粒经 鉴定 查获 的 可疑 毒品 一粒 净重 0.07克 可疑 毒品 九粒 净重 0.44 克均 检见 海洛因 成分,4
NA,湛江市 麻章区 人民检察院 指控 被告人 林某某 为了 赚取 利润 承诺 帮 一名 不 认识 名字 的 青年 男子 将 十粒 毒品 海洛因 放在 其 养猪场 代为 销售   <e1>   2014年8月7日早上7时   </e1>   许 吸毒 人员 徐某某 来到 林某某 的 养猪场 购买 毒品 当两人 完成 交易 时 被 公安民警 当场 抓获 并 从 徐某某 身上 扣押 到 可疑 毒品 一粒 和 人民币 50 元 从 林某某 处 扣押 到 人民币 100 元 和 可疑 毒品 九小 粒经 鉴定 查获 的 可疑 毒品 一粒 净重   <e2>   0.07克   </e2>   可疑 毒品 九粒 净重 0.44 克均 检见 海洛因 成分,4
posess,经 审理 查明 2015年7月22日1时 许 公安民警 接到 群众 吴某某 举报 称 贵阳市云岩区 纯味园 宿舍 有 一 男子 持有 大量 毒品 公安民警 接警 后 前往 举报 地点 搜查 在 搜查 过程 中 从 被告人   <e1>   焦某某   </e1>   身上 查获 毒品 一包 经 刑事 科学技术 鉴定 检出   <e2>   海洛因   </e2>   计重 1 20克 涉案 毒品 已 上交 省公安厅 禁毒 总队,2
NA,经 审理 查明 2015年7月22日1时 许 公安民警 接到 群众 吴某某 举报 称   <e1>   贵阳市云岩区   </e1>   纯味园 宿舍 有 一 男子 持有 大量 毒品 公安民警 接警 后 前往 举报 地点 搜查 在 搜查 过程 中 从 被告人 焦某某 身上 查获 毒品 一包 经 刑事 科学技术   <e2>   海洛因   </e2>   出 海洛因 计重 1 20克 涉案 毒品 已 上交 省公安厅 禁毒 总队,4
NA,经 审理 查明   <e1>   2015年7月22日1时   </e1>   许 公安民警 接到 群众 吴某某 举报 称 贵阳市云岩区 纯味园 宿舍 有 一 男子 持有 大量 毒品 公安民警 接警 后 前往 举报 地点 搜查 在 搜查 过程 中   <e2>   焦某某   </e2>   人 焦某某 身上 查获 毒品 一包 经 刑事 科学技术 鉴定 检出 海洛因 计重 1 20克 涉案 毒品 已 上交 省公安厅 禁毒 总队,4
traffic_in,公诉 机关 指控 2014年12月 开始 被告人   <e1>   黄某某   </e1>   在 博罗县 罗阳 镇田牌 村 等 地 多次 将   <e2>   氯胺酮   </e2>   贩卖 给 黄某明 刘某林 刘某强 等 人 2015 年 2 月份 开始 黄某某 在 博罗县 罗阳 镇田牌 村 等 地 多次 将 甲基苯丙胺 冰毒 贩卖 给 胡某康 杨某宇 等 人 同年 10 月 2 4日 公安民警 在 博罗县 罗阳 镇 将 黄某某 抓获归案,0
sell_drugs_to,公诉 机关 指控 2014年12月 开始 被告人   <e1>   黄某某   </e1>   在 博罗县 罗阳 镇田牌 村 等 地 多次 将 氯胺酮 贩卖 给   <e2>   黄某明   </e2>   刘某林 刘某强 等 人 2015 年 2 月份 开始 黄某某 在 博罗县 罗阳 镇田牌 村 等 地 多次 将 甲基苯丙胺 冰毒 贩卖 给 胡某康 杨某宇 等 人 同年 10 月 2 4日 公安民警 在 博罗县 罗阳 镇 将 黄某某 抓获归案,1
sell_drugs_to,公诉 机关 指控 2014年12月 开始 被告人   <e1>   黄某某   </e1>   在 博罗县 罗阳 镇田牌 村 等 地 多次 将 氯胺酮 贩卖 给 黄某明   <e2>   刘某林   </e2>   刘某强 等 人 2015 年 2 月份 开始 黄某某 在 博罗县 罗阳 镇田牌 村 等 地 多次 将 甲基苯丙胺 冰毒 贩卖 给 胡某康 杨某宇 等 人 同年 10 月 2 4日 公安民警 在 博罗县 罗阳 镇 将 黄某某 抓获归案,1
sell_drugs_to,公诉 机关 指控 2014年12月 开始 被告人   <e1>   黄某某   </e1>   在 博罗县 罗阳 镇田牌 村 等 地 多次 将 氯胺酮 贩卖 给 黄某明 刘某林   <e2>   刘某强   </e2>   等 人 2015 年 2 月份 开始 黄某某 在 博罗县 罗阳 镇田牌 村 等 地 多次 将 甲基苯丙胺 冰毒 贩卖 给 胡某康 杨某宇 等 人 同年 10 月 2 4日 公安民警 在 博罗县 罗阳 镇 将 黄某某 抓获归案,1
traffic_in,公诉 机关 指控 2014年12月 开始 被告人 黄某某 在 博罗县 罗阳 镇田牌 村 等 地 多次 将 氯胺酮 贩卖 给 黄某明 刘某林 刘某强 等 人 2015 年 2 月份 开始   <e1>   黄某某   </e1>   在 博罗县 罗阳 镇田牌 村 等 地 多次 将   <e2>   甲基苯丙胺   </e2>   冰毒 贩卖 给 胡某康 杨某宇 等 人 同年 10 月 2 4日 公安民警 在 博罗县 罗阳 镇 将 黄某某 抓获归案,0
